2021-03-30 19:59:00,594 [main] INFO  ? (?:?) - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2021-03-30 19:59:02,351 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:200) -  [DUBBO] Load registry store file C:\Users\YYKJ\.dubbo\dubbo-registry-dubbo-admin-192.168.10.21:2181.cache, data: {*/com.yykj.springboot.service.ITicketService:*=empty://192.168.10.1/com.yykj.springboot.service.ITicketService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.yykj.springboot.service.ITicketService&version=* empty://192.168.10.1/com.yykj.springboot.service.ITicketService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.yykj.springboot.service.ITicketService&version=* empty://192.168.10.1/com.yykj.springboot.service.ITicketService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.yykj.springboot.service.ITicketService&version=* dubbo://192.168.10.1:20880/com.yykj.springboot.service.ITicketService?anyhost=true&application=springboot-13-dubbo-provider&bean.name=ServiceBean:com.yykj.springboot.service.ITicketService&deprecated=false&dubbo=2.0.2&dynamic=true&generic=false&interface=com.yykj.springboot.service.ITicketService&methods=getTicket&pid=2080&register=true&release=2.7.3&side=provider&timestamp=1617100304367}, dubbo version: 2.6.2, current host: 192.168.10.1
2021-03-30 19:59:02,523 [localhost-startStop-1] INFO  com.alibaba.dubbo.config.ReferenceConfig (ReferenceConfig.java:425) -  [DUBBO] Refer dubbo service com.alibaba.dubbo.registry.RegistryService from url zookeeper://192.168.10.21:2181/com.alibaba.dubbo.registry.RegistryService?application=dubbo-admin&dubbo=2.6.2&pid=13896&refer=application%3Ddubbo-admin%26check%3Dfalse%26dubbo%3D2.6.2%26interface%3Dcom.alibaba.dubbo.registry.RegistryService%26methods%3Dlookup%2Csubscribe%2Cunsubscribe%2Cunregister%2Cregister%26pid%3D13896%26register.ip%3D192.168.10.1%26revision%3D2.6.2%26side%3Dconsumer%26timestamp%3D1617105542299&timestamp=1617105542323, dubbo version: 2.6.2, current host: 192.168.10.1
2021-03-30 19:59:02,557 [localhost-startStop-1] INFO  com.alibaba.dubboadmin.governance.sync.RegistryServerSync (RegistryServerSync.java:78) -  [DUBBO] Init Dubbo Admin Sync Cache..., dubbo version: 2.6.2, current host: 192.168.10.1
2021-03-30 19:59:02,560 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.10.1?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=*&version=*, dubbo version: 2.6.2, current host: 192.168.10.1
2021-03-30 19:59:02,603 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.10.1/com.yykj.springboot.service.ITicketService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.yykj.springboot.service.ITicketService&version=*, dubbo version: 2.6.2, current host: 192.168.10.1
2021-03-30 19:59:02,627 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.10.1/com.yykj.springboot.service.ITicketService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.yykj.springboot.service.ITicketService&version=*, urls: [dubbo://192.168.10.1:20880/com.yykj.springboot.service.ITicketService?anyhost=true&application=springboot-13-dubbo-provider&bean.name=ServiceBean:com.yykj.springboot.service.ITicketService&deprecated=false&dubbo=2.0.2&dynamic=true&generic=false&interface=com.yykj.springboot.service.ITicketService&methods=getTicket&pid=2080&register=true&release=2.7.3&side=provider&timestamp=1617100304367, empty://192.168.10.1/com.yykj.springboot.service.ITicketService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.yykj.springboot.service.ITicketService&version=*, empty://192.168.10.1/com.yykj.springboot.service.ITicketService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.yykj.springboot.service.ITicketService&version=*, empty://192.168.10.1/com.yykj.springboot.service.ITicketService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.yykj.springboot.service.ITicketService&version=*], dubbo version: 2.6.2, current host: 192.168.10.1
2021-03-30 19:59:03,952 [main] INFO  com.alibaba.dubboadmin.SpringUtil (SpringUtil.java:33) -  [DUBBO] set applicationcontext, dubbo version: 2.6.2, current host: 192.168.10.1
2021-03-30 20:00:26,133 [http-nio-7001-exec-1] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /governance/providers, dubbo version: 2.6.2, current host: 192.168.10.1
2021-03-30 20:00:26,458 [http-nio-7001-exec-2] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /favicon.ico, dubbo version: 2.6.2, current host: 192.168.10.1
2021-03-30 20:00:27,894 [http-nio-7001-exec-3] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /governance/providers/1, dubbo version: 2.6.2, current host: 192.168.10.1
